Designator,Mid X,Mid Y,Rotation,Layer
AL1,113.31,-130.751,0.0,top
AL10,144.81,-130.751,0.0,top
AL11,148.31,-130.751,0.0,top
AL12,151.81,-130.751,0.0,top
AL13,155.31,-130.751,0.0,top
AL14,158.81,-130.751,0.0,top
AL15,162.31,-130.751,0.0,top
AL16,165.81,-130.751,0.0,top
AL17,169.31,-130.751,0.0,top
AL18,172.81,-130.751,0.0,top
AL19,176.31,-130.751,0.0,top
AL2,116.81,-130.751,0.0,top
AL20,180.06,-130.751,0.0,top
AL21,183.81,-130.751,0.0,top
AL22,187.56,-130.751,0.0,top
AL23,191.31,-130.751,0.0,top
AL3,120.31,-130.751,0.0,top
AL4,123.81,-130.751,0.0,top
AL5,127.31,-130.751,0.0,top
AL6,130.81,-130.751,0.0,top
AL7,134.31,-130.751,0.0,top
AL8,137.81,-130.751,0.0,top
AL9,141.31,-130.751,0.0,top
BUZZER3,179.0,-84.5,180.0,top
C1,135.5,-74.5,180.0,top
C10,137.8,-72.39,90.0,top
C11,137.8,-76.5,90.0,top
C12,116.785,-83.485,180.0,top
C13,116.885,-80.66,180.0,top
C14,109.5,-111.72,270.0,top
C15_2,206.5,-93.5,90.0,top
C15,104.75,-139.0,270.0,top
C16,101.25,-139.0,270.0,top
C17,107.75,-139.0,270.0,top
C18,86.0,-142.299,90.0,top
C19,85.94,-126.75,270.0,top
C2,135.5,-76.3,180.0,top
C20,105.7,-126.5,270.0,top
C21,210.0,-137.0,90.0,top
C22,200.5,-129.0,90.0,top
C23,105.06,-142.22,90.0,top
C24,184.22,-85.0,0.0,top
C25,184.22,-87.8,0.0,top
C26,190.0,-88.5,0.0,top
C3,206.4,-91.1,270.0,top
C4,203.5,-93.5,0.0,top
C5,109.7,-69.77,270.0,top
C6,177.405,-79.875,0.0,top
C7,126.922,-87.714,90.0,top
C8,121.5,-93.75,0.0,top
C9,123.172,-93.684,90.0,top
CARD1,205.1375,-116.5,90.0,top
CN1,198.0,-100.75,90.0,top
CN2,192.46,-138.81,90.0,top
CN3,120.75,-138.75,90.0,top
D1,203.61,-88.6,180.0,top
D10,160.376,-84.272,90.0,top
D11,117.005,-92.31,180.0,top
D12,110.455,-88.6,270.0,top
D2,112.625,-72.45,90.0,top
D3,113.975,-72.4,90.0,top
D4,115.25,-72.4,90.0,top
D5,113.5,-68.175,0.0,top
D6,179.4,-73.85,0.0,top
D7,179.4,-75.98,0.0,top
D8,179.4,-78.11,0.0,top
D9,175.125,-76.15,90.0,top
H2,178.92,-138.77,0.0,top
J1,122.5,-67.35,180.0,top
J10,210.21699,-66.639063,270.0,top
J2,179.0,-67.35,180.0,top
J3,88.755,-66.5,270.0,top
J4,104.02,-66.5,270.0,top
J5,88.77,-84.25,270.0,top
J6,101.48,-84.25,270.0,top
J7,194.983686,-84.418458,270.0,top
J8,207.663565,-84.426193,270.0,top
J9,194.989848,-66.632537,270.0,top
LED1,168.376,-83.482,0.0,top
MB2,192.45,-65.45,0.0,top
P1,86.0,-93.0,90.0,top
P2,113.38,-108.68,90.0,top
Q1,122.758,-84.008,180.0,top
Q2,127.33,-84.008,180.0,top
Q3,116.97,-87.63,90.0,top
Q5,176.0,-88.0,270.0,top
R1,139.5,-74.0,0.0,top
R10,119.5,-82.0,180.0,top
R11,120.0,-86.0,270.0,top
R12,125.022,-90.834,90.0,top
R13,126.872,-90.834,90.0,top
R14,128.722,-90.834,90.0,top
R15,121.322,-87.984,90.0,top
R16,123.172,-87.984,90.0,top
R17,125.022,-87.984,90.0,top
R18,109.5,-106.25,180.0,top
R19,160.376,-81.482,270.0,top
R2,201.4,-91.1,90.0,top
R20,164.376,-84.982,180.0,top
R21,164.376,-81.782,180.0,top
R22,164.376,-83.282,180.0,top
R24,116.805,-85.185,0.0,top
R25,112.23,-87.91,270.0,top
R26,116.745,-78.125,180.0,top
R27,88.82,-141.5,180.0,top
R28,88.82,-143.0,180.0,top
R29,89.12,-127.5,180.0,top
R3,112.6,-74.925,90.0,top
R30,89.0,-126.0,180.0,top
R31,103.04,-127.0,0.0,top
R32,103.04,-125.5,0.0,top
R33,207.5,-136.0,0.0,top
R34,207.5,-138.0,0.0,top
R35,203.5,-128.0,180.0,top
R36,203.5,-130.0,180.0,top
R37,101.974,-141.44,0.0,top
R38,102.06,-142.94,0.0,top
R39,188.98,-85.0,0.0,top
R4,114.45,-74.925,90.0,top
R40,194.36,-88.5,0.0,top
R42,182.0,-81.0,180.0,top
R5,182.825,-74.2,90.0,top
R6,181.425,-74.2,90.0,top
R7,125.022,-93.684,90.0,top
R8,126.872,-93.684,90.0,top
R9,128.722,-93.684,90.0,top
RV1,187.5,-78.54,270.0,top
S1,96.525,-112.0875,0.0,top
SW1,133.5,-72.0,0.0,top
SW2,164.5,-72.0,180.0,top
SW3,211.5,-96.5,90.0,top
SW4,88.25,-134.1025,0.0,top
SW5,95.51,-127.0,180.0,top
SW6,103.76,-134.0,180.0,top
SW7,201.0,-136.5,0.0,top
SW8,209.5,-129.5,180.0,top
SW9,95.76,-141.5,0.0,top
U1,150.65,-75.45,0.0,top
U14,126.42,-138.73,0.0,top
U18,199.0,-88.35,90.0,top
U19,164.592,-77.724,180.0,top
U2,203.47,-91.97,0.0,top
U20,148.69,-138.77,0.0,top
U3,122.62,-76.62,90.0,top
U4,101.69,-92.05,0.0,top
U6,210.75,-142.75,0.0,top
